num_targets,target_fitness_cost,recomb_rate,shared_cas9,baseline_cleavage_rate,saturation_factor,target_cut_rate,drive_cut_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,avg_max_load,avg_time_to_maximum_genetic_load,recovery_marker,avg_rate_genetic_load_fell_below_marker,avg_time_to_genetic_load_below_marker,drive_loss_rate,avg_time_to_drive_loss,drive_fixed_rate,avg_time_to_drive_fixation,disrupted_lost_rate,avg_time_to_disrupted_lost,disrupted_fixed_rate,avg_time_to_disrupted_fixation,simulation_timed_out_rate,avg_ending_genetic_load,avg_total_load,theoretical_potential_load,fraction_of_max_load_attained
10,0.1,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.3778552,12.15,0.2,1,37.85,0.85,295.11764705882354,0.15,33.666666666666664,0,-1,0,-1,1,0.015582500000000001,27.810922626000018,0.6861894039099998,0.5506572935211912
1,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.14517850000000004,11.35,0.2,0,-1,0.85,295.3529411764706,0.15,41.333333333333336,0.1,428,0,-1,0.9,0.01504175,19.06527021250001,0.235,0.61778085106383
2,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.18906794999999996,11.5,0.2,0,-1,0.75,294.2,0.25,44.8,0,-1,0,-1,1,0.02509429999999999,23.652694405000013,0.34975,0.5405802716225875
3,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.2298021,11.5,0.2,1,18.15,0.95,290.6842105263158,0.05,22,0,-1,0,-1,1,0.0051075,17.503056098000023,0.44728750000000006,0.513768213956348
4,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.2684216,11.7,0.2,1,21.9,0.95,304.3157894736842,0.05,30,0,-1,0,-1,1,0.0051143,19.190091252500014,0.5301943750000001,0.5062701768573081
5,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.30538885000000004,11.9,0.2,1,24.6,0.8,309.4375,0.2,38.75,0,-1,0,-1,1,0.02015634999999999,25.411190418500027,0.6006652187500001,0.5084177349830945
6,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.34050755,11.75,0.2,1,27.1,0.8,292.5625,0.2,46.75,0,-1,0,-1,1,0.02023594999999999,25.963796005000017,0.6605654359375001,0.5154789086364147
7,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.37391025,11.95,0.2,1,29.15,0.85,300.3529411764706,0.15,49.666666666666664,0,-1,0,-1,1,0.01521415,25.23422705100001,0.7114806205468751,0.5255382075095681
8,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.40618465,11.95,0.2,1,31.25,0.9,311.1666666666667,0.1,22.5,0,-1,0,-1,1,0.0102172125,24.010398982999995,0.7547585274648438,0.5381650358616449
9,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.43660645,12,0.2,1,33.35,0.95,305.36842105263156,0.05,32,0,-1,0,-1,1,0.0053562,23.307226963999987,0.7915447483451172,0.5515878298893564
10,0.15,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.4649381500000001,12,0.2,1,34.6,0.8,300.125,0.2,60.75,0,-1,0,-1,1,0.02028375,29.20660149399999,0.8228130360933497,0.5650592900271599
1,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.15727425,11.05,0.2,0,-1,0.9,298.94444444444446,0.1,24,0.35,422,0,-1,0.65,0.0100117,18.058899049999987,0.2799999999999999,0.5616937500000002
2,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.21094975,11.05,0.2,1,14.8,0.95,306.7368421052632,0.05,56,0.05,493,0,-1,0.95,0.0050459,16.852997529999982,0.4239999999999998,0.4975229952830191
3,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.26037279999999996,11.05,0.2,1,19,0.9,295.77777777777777,0.1,16,0,-1,0,-1,1,0.010096,20.18815935399999,0.5391999999999999,0.4828872403560831
4,0.2,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.30759340000000013,11.15,0.2,1,21.9,0.85,306.52941176470586,0.15,33.666666666666664,0,-1,0,-1,1,0.01509909999999999,23.160644505999983,0.6313599999999999,0.4871917764825142
