num_target_loci,target_fitness_cost,recomb_rate,shared_cas9?,baseline_cleavage_rate,saturation_factor,target_cleavage_rate,drive_cleavage_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,recovery_marker,avg_minimum_fitness,avg_time_to_minimum_fitness,avg_time_to_fitness_recovery,avg_ending_fitness,avg_ending_drive_rate,avg_ending_disrupted_rate,rate_drive_lost_disrupted_lost,rate_drive_lost_disrupted_fixed,rate_drive_fixed_disrupted_lost,rate_drive_fixed_disrupted_fixed,rate_simulation_timed_out,num_replicates
3,0.6,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.4010957500000001,32.25,164.25,1,0,2.908335e-4,0.8,0,0,0,0.2,20
3,0.5,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.35245265,28.5,162.1,0.99498325,0.05,9.9583335e-4,0.5,0,0,0,0.5,20
3,0.4,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.34835699999999997,25.5,183.65,0.999992,0,0.00119333315,0.5,0,0,0,0.5,20
3,0.3,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.39191435,24.05,166.65,0.9899899500000002,0.1,0.00165666814999999,0.35,0,0.05,0,0.6,20
3,0.2,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.4993559500000001,23.35,164.6,0.9899633,0.1,0.00323499865,0.2,0,0,0,0.8,20
3,0.1,0.5,1,1,0.5,0.5,0.5,0.001,-0.1,0.5,0.01,0,0.99,0.6675238999999998,23.8,172.65,0.98994315,0.1,0.01032333849999999,0,0,0,0,1,20
4,1,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.648232,125,238,0.99999,0,4.4374999999999e-4,0.7,0,0,0,0.3,20
4,0.9,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.6328052,108.1,220.25,0.999982,0,3.2125e-4,0.8,0,0,0,0.2,20
4,0.8,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.6134157,93.3,211.15,1,0,1.4125e-4,0.8,0,0,0,0.2,20
4,0.7,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.5776991999999999,76.8,197.35,0.999993,0,3.53125e-4,0.65,0,0,0,0.35,20
4,0.6,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.5253479,60.95,174.6,0.999991,0,6.3e-4,0.45,0,0,0,0.55,20
4,0.5,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.4245066,43.75,177.35,0.9999925,0,6.6749999999999e-4,0.45,0,0,0,0.55,20
4,0.4,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.3345268,34.05,184,0.999996,0,6.5624999999999e-4,0.45,0,0,0,0.55,20
4,0.3,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.32956464999999996,29.2,176.05,0.9949805,0.05,0.00179812499999999,0.15,0,0.05,0,0.8,20
4,0.2,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.42178995,27.1,196.1,0.999976,0,0.00298687499999999,0.15,0,0,0,0.85,20
4,0.1,0.5,1,1,0.5,0.44721359549995793,0.44721359549995793,0.001,-0.1,0.5,0.01,0,0.99,0.6064131000000001,26.65,162.95,0.98491595,0.15,0.01049624999999999,0,0,0,0,1,20
5,1,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.6843667499999999,210.1,325.55,1,0,2.03e-4,0.75,0,0,0,0.25,20
5,0.9,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.6632486,184.6,301.85,0.9999955,0,2.58e-4,0.6,0,0,0,0.4,20
5,0.8,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.6463771500000001,161.25,276.85,0.999992,0,3.595e-4,0.55,0,0,0,0.45,20
5,0.7,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.6331246500000001,135.1,250.45,1,0,6.5e-5,0.8,0,0,0,0.2,20
5,0.6,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.60098195,110.35,231.5,0.999982,0,6.265e-4,0.45,0,0,0,0.55,20
5,0.5,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.5419056499999999,80.7,198.9,0.9999975,0,4.1449999999999e-4,0.6,0,0,0,0.4,20
5,0.4,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.41901715,52.65,184.95,0.999992,0,6.705e-4,0.5,0,0,0,0.5,20
5,0.3,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.3089708,36.65,186.05,0.999988,0,0.00122749999999999,0.2,0,0,0,0.8,20
5,0.2,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.36009765,30.85,166.75,0.9899591,0.1,0.0033355,0,0,0,0,1,20
5,0.1,0.5,1,1,0.5,0.4082482904638631,0.4082482904638631,0.001,-0.1,0.5,0.01,0,0.99,0.5519452000000001,29.65,172.2,0.98486425,0.15,0.0110085,0,0,0,0,1,20
6,1,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.7172435,332.95,445.2,0.99999,0,5.4875005e-4,0.35,0,0,0,0.65,20
6,0.9,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.7198780499999999,275.75,390.3,0.999991,0,6.0833335e-4,0.45,0,0,0,0.55,20
6,0.8,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.67722495,255.9,366.5,0.999988,0,5.3416664999999e-4,0.4,0,0,0,0.6,20
6,0.7,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.6691444499999999,222.95,315,0.9949895,0.05,3.54582985e-4,0.4,0,0.05,0,0.55,20
6,0.6,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.6432559,178.05,287.95,0.999988,0,6.574998315e-4,0.25,0,0,0,0.75,20
6,0.5,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.6057971,136.15,241.6,0.999975,0,0.001004583885,0.35,0,0,0,0.65,20
6,0.4,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.5293681999999998,91.5,209,0.999976,0,0.0010625001665,0.3,0,0,0,0.7,20
6,0.3,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.33841935,49.35,187.4,0.9999774999999996,0,0.001644166,0.05,0,0,0,0.95,20
6,0.2,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.3158613,35.85,193.35,0.9999530000000002,0,0.00319083285,0,0,0,0,1,20
6,0.1,0.5,1,1,0.5,0.3779644730092272,0.3779644730092272,0.001,-0.1,0.5,0.01,0,0.99,0.5024551500000001,32.25,179.85,0.9898794,0.1,0.01056541549999999,0,0,0,0,1,20
7,1,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.7255524999999999,487.65,604.5,0.9999400000000002,0,0.0012117864,0.15,0,0,0,0.85,20
7,0.9,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.6978680999999999,419.1,549.05,0.9999505,0,9.142865e-4,0.25,0,0,0,0.75,20
7,0.8,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.6901392,385.65,511.25,0.99996,0,9.86428685e-4,0.1,0,0,0,0.9,20
7,0.7,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.6933190499999999,327.6,440.4,0.9999825,0,5.92500315e-4,0.15,0,0,0,0.85,20
7,0.6,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.67182505,251,381.05,0.999961,0,9.5535575e-4,0.15,0,0,0,0.85,20
7,0.5,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.62798625,209.8,325.4,0.9999675,0,0.001048929023,0.2,0,0,0,0.8,20
7,0.4,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.5819509,147.3,267.1,0.999974,0,0.00125964235,0.05,0,0,0,0.95,20
7,0.3,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.46664745,80.7,203.25,0.9999534999999998,0,0.002150714265,0,0,0,0,1,20
7,0.2,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.28852955,42.1,181.55,0.9949256000000002,0.05,0.003845,0.05,0,0,0,0.95,20
7,0.1,0.5,1,1,0.5,0.35355339059327373,0.35355339059327373,0.001,-0.1,0.5,0.01,0,0.99,0.457993,35.6,173.85,0.98488105,0.15,0.00967928799999999,0,0,0,0,1,20
8,1,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.7450037500000002,717.95,657.9,0.98866125,0.0981875,0.0079953175,0,0,0,0,1,20
8,0.9,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.7375795499999999,620.55,729.8,0.99985075,9.75e-5,0.0030334375,0,0,0,0,1,20
8,0.8,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.73341675,552.95,635.55,0.9948747,0.05003499999999999,0.00269875,0,0,0,0,1,20
8,0.7,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.69731355,462.85,590.35,0.999916,0,0.002131875,0,0,0,0,1,20
8,0.6,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.70238855,364.7,503.1,0.9999429999999998,0,0.0018815625,0,0,0,0,1,20
8,0.5,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.6676561500000001,300.15,408.5,0.9999724999999998,0,0.001106875,0,0,0,0,1,20
8,0.4,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.6153497,217.8,335.6,0.999952,0,0.001964375,0,0,0,0,1,20
8,0.3,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.5318683000000001,129.8,256.2,0.9999535,0,0.001985625,0.1,0,0,0,0.9,20
8,0.2,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.28188435,50.6,202.05,0.99992,0,0.003490625,0,0,0,0,1,20
8,0.1,0.5,1,1,0.5,0.3333333333333333,0.3333333333333333,0.001,-0.1,0.5,0.01,0,0.99,0.41948035000000006,37.85,199.45,0.99487565,0.05,0.00902187499999999,0,0,0,0,1,20
9,1,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.8134862499999999,705.15,-1,0.8905672500000001,0.3858075,0.08102690500000001,0,0,0,0,1,20
9,0.9,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.74373315,813.7,173.3,0.9349963,0.4051025,0.03347497749999999,0,0,0,0,1,20
9,0.8,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.73043855,756.45,427.15,0.9792713499999998,0.18947500000000003,0.0101841635,0,0,0,0,1,20
9,0.7,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.6992736500000001,613.95,743.65,0.99961975,0.00135999999999999,0.004181667,0,0,0,0,1,20
9,0.6,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.71328635,493.25,650.15,0.9996284499999998,1.675e-4,0.0039011092,0,0,0,0,1,20
9,0.5,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.68504755,419.4,538.85,0.9998675,0,0.00271444395,0,0,0,0,1,20
9,0.4,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.63620705,306.95,422.85,0.999932,0,0.00248361144999999,0.05,0,0,0,0.95,20
9,0.3,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.5886735,190.9,305,0.9999325000000002,0,0.00266111136999999,0,0,0,0,1,20
9,0.2,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.32201975,66.6,205.25,0.999941,0,0.00277611029999999,0,0,0,0,1,20
9,0.1,0.5,1,1,0.5,0.31622776601683794,0.31622776601683794,0.001,-0.1,0.5,0.01,0,0.99,0.38501975,40.75,215.45,0.99988055,0,0.0078844435,0,0,0,0,1,20
10,1,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.93197325,189.85,-1,0.95435975,0.0245775,0.06842625000000001,0,0,0,0,1,20
10,0.9,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.9256889,184.95,-1,0.94845065,0.0289,0.07597925000000001,0,0,0,0,1,20
10,0.8,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.84794975,836.75,-1,0.8872671499999998,0.22593999999999995,0.10354374999999998,0,0,0,0,1,20
10,0.7,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.73203395,769.05,168.4,0.95148445,0.410405,0.02370599999999999,0,0,0,0,1,20
10,0.6,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.7336097500000001,690.1,720.5,0.9922939000000002,0.06047499999999999,0.0102625,0,0,0,0,1,20
10,0.5,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.6976198,545.8,632.5,0.994795,0.05,0.00445199999999999,0,0,0,0,1,20
10,0.4,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.6413648500000001,395.2,524.05,0.999884,0,0.00332625,0,0,0,0,1,20
10,0.3,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.6000129,257.95,385.25,0.999883,0,0.00312099999999999,0,0,0,0,1,20
10,0.2,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.4461580999999999,102.8,237.75,0.9998920000000002,0,0.00387725,0,0,0,0,1,20
10,0.1,0.5,1,1,0.5,0.30151134457776363,0.30151134457776363,0.001,-0.1,0.5,0.01,0,0.99,0.3553694,44.65,203.1,0.9948212,0.05,0.0096145,0,0,0,0,1,20
